protocolSection.identificationModule.briefTitle,protocolSection.statusModule.statusVerifiedDate,protocolSection.statusModule.overallStatus,protocolSection.statusModule.completionDateStruct.date,protocolSection.sponsorCollaboratorsModule.responsibleParty.type,protocolSection.sponsorCollaboratorsModule.responsibleParty.investigatorFullName,protocolSection.sponsorCollaboratorsModule.leadSponsor.name,protocolSection.conditionsModule.conditions,protocolSection.designModule.studyType,protocolSection.designModule.enrollmentInfo.count,protocolSection.designModule.enrollmentInfo.type,protocolSection.armsInterventionsModule.interventions,protocolSection.conditionsModule.keywords,protocolSection.eligibilityModule.studyPopulation
Phase II Study of Leuprolide and Testosterone for Men With Kennedy's Disease or Other Motor Neuron Disease,2001-12,COMPLETED,,,,National Center for Research Resources (NCRR),"['Spinal Muscular Atrophy', 'Amyotrophic Lateral Sclerosis', 'Spinobulbar Muscular Atrophy']",INTERVENTIONAL,40.0,,"[{'name': 'leuprolide'}, {'name': 'testosterone'}]","['amyotrophic lateral sclerosis', 'motor neuron disease', 'neurologic and psychiatric disorders', 'rare disease', 'spinal and bulbar muscular atrophy', 'spinal muscular atrophy', ""Kennedy's Syndrome""]",
A Trial of Nicotinamide/Pterostilbene Supplement in ALS: The NO-ALS Extension Study,2022-10,RECRUITING,2023-10-31,SPONSOR,,Haukeland University Hospital,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,300.0,ESTIMATED,"[{'name': 'EH301 (Nicotinamide Riboside/Pterostilbene)', 'description': 'For this study EH301 is defined as Investigational Product(s) (IP). The ALS extension study is an open label study with active treatment of all patients thet have passed through the NO-ALS trial.'}]",,
Prognostic Value of a Diaphragmatic Endurance Test in Patients With Amyotrophic Lateral Sclerosis,2020-12,TERMINATED,2020-10-28,SPONSOR,,Centre Hospitalier Universitaire de Saint Etienne,['ALS (Amyotrophic Lateral Sclerosis)'],OBSERVATIONAL,136.0,ACTUAL,"[{'name': 'Diaphragmatic endurance test', 'description': 'This consists of hyperventilation in a flask while maintaining the constant level of Carbon Dioxide (CO2). The patient will realize hyperventilation to increasing levels of Maximum Minute Ventilation (MMV), corresponding to increasing levels of respiratory rate, until exhaustion'}]","['Amyotrophic Lateral Sclerosis', 'ALS', 'Diaphragmatic Endurance Test']",Patients with ALS Healthly volonteers
Treatment of Primary CNS Lymphoma ( FTD ),2022-03,COMPLETED,2019-03-02,SPONSOR_INVESTIGATOR,Mingzhi Zhang,Mingzhi Zhang,['Primary CNS Lymphoma (PCNSL)'],INTERVENTIONAL,20.0,ACTUAL,"[{'name': 'HD-MTX-Ara-C regimen', 'description': 'HD-MTX-Ara-C regimen high-does metrotrexate 3.5g/m2 d1 ivgtt 6h,cytarabine\n\n1g/m2 bid d2-3.Continued use to the end of chemotherapy .Every 21 days for one cycle and four cycles are required. Efficacy was evaluated every two cycles'}, {'name': 'FTD regimen', 'description': 'FTD regimen(fotemustine, temozolomide and dexamethasone),fotemustine 100mg/m2 d1 ivgtt,temozolomide 150mg/m2 d1-5 po,dexamethasone 40mg d1-5 ivgtt.Continued use to the end of chemotherapy .Every 28 days for one cycle and four cycles are required. Efficacy was evaluated every two cycles'}]","['primary CNS lymphoma', 'chemotherapy', 'RR', 'PFS', 'OS']",
Microglial Activation Role In ALS (MARIA),2017-05,WITHDRAWN,2017-03,SPONSOR,,"University Hospital, Tours",['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,0.0,ACTUAL,"[{'name': '[18F]DPA-714 PET', 'description': '\\[18F\\]DPA-714 Positron Emission Tomography'}]","['amyotrophic lateral sclerosis disease', 'PET', 'microglial activation']",
Rasagiline in Subjects With Amyotrophic Lateral Sclerosis (ALS),2020-01,COMPLETED,2016-07-27,SPONSOR_INVESTIGATOR,"Richard Barohn, MD","Richard Barohn, MD",['Amyotrophic Lateral Sclerosis (ALS)'],INTERVENTIONAL,80.0,ACTUAL,"[{'name': 'Rasagiline', 'description': 'Rasagiline 2mg once a day for 12 months.'}, {'name': 'Placebo', 'description': 'Placebo (looks like study drug but has no active ingredients) once a day for 12 months.'}]",,
Study of ALS Reversals 2: Genetic Analyses,2024-01,COMPLETED,2023-12-01,SPONSOR,,Duke University,"['Amyotrophic Lateral Sclerosis', 'Progressive Muscular Atrophy']",OBSERVATIONAL,26.0,ACTUAL,,"['amyotrophic lateral sclerosis', 'progressive muscular atrophy', 'motor neuron disease', 'ALS reversals', 'whole genome sequencing']",Participants will be enrolled by invitation only. Potential participants will have had a previously verified diagnosis of ALS or PMA and a verified sustained and robust reversal of disease.
Study of Myobloc in the Treatment of Sialorrhea (Drooling) in Patients With Amyotrophic Lateral Sclerosis (ALS),2012-03,COMPLETED,2007-08,,,The University of Texas Health Science Center at San Antonio,"['Amyotrophic Lateral Sclerosis', 'Sialorrhea']",INTERVENTIONAL,20.0,,"[{'name': 'Botulinum toxin type B (Myobloc)'}, {'name': 'Injection of salivary glands'}]","['ALS', ""Lou Gehrig's Disease"", 'Motor Neuron Disease', 'Amyotrophic Lateral Sclerosis', 'Sialorrhea', 'Hypersalivation', 'Excessive Drooling', 'Myobloc', 'botulinum toxin type B', 'Clostridium botulinum B toxin', 'botulinum B toxin', 'botulinum neurotoxin B', 'NeuroBloc']",
"PREDIGA 2: Spanish Acronym of ""Educational and Diagnostic Project for Gaucher and ASMD""",2022-12,RECRUITING,2025-12-31,SPONSOR,,Fundación Española de Hematología y Hemoterapía,"['Gaucher Disease', 'Acid SphingoMyelinase Deficiency', 'ASMD', 'Niemann-Pick Diseases', 'Splenomegaly']",OBSERVATIONAL,200.0,ESTIMATED,"[{'name': 'Patient with splenomegaly or splenectomy', 'description': 'No interventional study'}]",,Patients with splenomegaly and unknown splenectomized
A Clinical Trial of Pimozide in Patients With Amyotrophic Lateral Sclerosis (ALS),2020-05,UNKNOWN,2020-12-31,PRINCIPAL_INVESTIGATOR,DR. LAWRENCE KORNGUT,University of Calgary,"['ALS', 'Amyotrophic Lateral Sclerosis']",INTERVENTIONAL,100.0,ESTIMATED,"[{'name': 'Pimozide 2mg/day (current) or 4 mg/day (study initiation)', 'description': 'Pimozide 2mg tablets will be taken once daily.'}, {'name': 'Placebo Oral Tablet', 'description': 'Identical matching placebo lactose tablets'}]",['Pimozide'],
Developing a Discrimination Model to Diagnose ALS,2018-05,COMPLETED,2015-10,SPONSOR,,University of Michigan,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,50.0,ACTUAL,"[{'name': 'MRI(magnetic resonance imaging)', 'description': 'Subjects with amyotrophic lateral sclerosis and lower neuron motor skills and healthy subjects will undergo an MRI(magnetic resonance imaging)scans of the brain to assess neurologic condition. The brain scans will take approximately 60 minutes to complete.'}]",,
Telehealth Implementation of Brain-Computer Interface,2023-07,RECRUITING,2024-07-05,PRINCIPAL_INVESTIGATOR,Colin Franz,Shirley Ryan AbilityLab,"['Amyotrophic Lateral Sclerosis', 'Stroke']",INTERVENTIONAL,7.0,ESTIMATED,"[{'name': 'Use of BCI', 'description': 'Clients will utilize BCI with training to communicate wants and needs'}]",['locked in syndrome'],
Determining Feasibility and Acceptability of Sharing Video Recordings With Patients With ALS and Caregivers,2023-02,COMPLETED,2022-06-09,PRINCIPAL_INVESTIGATOR,Paul J. Barr,Dartmouth-Hitchcock Medical Center,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,79.0,ACTUAL,"[{'name': 'HealthPAL', 'description': 'Participants who are randomly assigned to the HealthPAL arm will have immediate post- visit access to audio/video-recordings of their clinical visit through a HIPAA-compliant web-based program called HealthPAL.'}]","['neurology', 'health communications']",
Cognitive Impairement In Frontotemporal Dementia,2020-11,COMPLETED,2020-07-15,SPONSOR,,University of Pennsylvania,"['Frontotemporal Degeneration', 'Progressive Supranuclear Palsy', 'Multiple System Atrophy']",OBSERVATIONAL,997.0,ACTUAL,"[{'name': 'None-Observation Only', 'description': 'No intervention-this is an observational study'}]",,"All individuals with a diagnosis of FTD, PSP, or MSA, previously identified by the PI and sub-investigators through other FTD studies (protocol number 702681) and through the PI's extensive FTD clinical practice at the University of Pennsylvania and at Pennsylvania Hospital's Department of Neurology, will be recruited through letters, brochures, and study flyers."
A Safety Study of sNN0029 Administration Via Intracerebroventricular Route to Patients With ALS,2016-01,TERMINATED,2015-10,SPONSOR,,Newron Sweden AB,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,15.0,ACTUAL,"[{'name': 'sNN0029'}, {'name': 'Placebo'}]",,
"Study to Assess the Safety, Tolerability, Pharmacokinetics, and Effect on Disease Progression of BIIB078 Administered to Previously Treated Adults C9ORF72-Associated Amyotrophic Lateral Sclerosis (ALS)",2023-04,TERMINATED,2022-05-03,SPONSOR,,Biogen,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,75.0,ACTUAL,"[{'name': 'BIIB078', 'description': 'Administered as specified in the treatment arm.'}]",,
Initial Attack on Latent Metastasis Using TAS-102 for ct DNA Identified Colorectal Cancer Patients After Curative Resection,2022-11,RECRUITING,2023-12,PRINCIPAL_INVESTIGATOR,Takayuki Yoshino,National Cancer Center Hospital East,"['Colorectal Neoplasms', 'Trifluridine and Tipiracil', 'Circulating Tumor DNA']",INTERVENTIONAL,240.0,ESTIMATED,"[{'name': 'trifluridine and tipiracil', 'description': 'Trifluridine and tipiracil will be orally administered twice daily on Days 1 to 5 and Days 8 to 12. The administration will be repeated until completion of 6 courses(one course consists of 28 days) or until any discontinuation criterion is met.'}, {'name': 'Placebo', 'description': 'Placebo will be orally administered twice daily on Days 1 to 5 and Days 8 to 12. The administration will be repeated until completion of 6 courses(one course consists of 28 days) or until any discontinuation criterion is met.'}]","['Colorectal Neoplasms', 'Gastrointestinal Neoplasms', 'Digestive System Diseases', 'Gastrointestinal Diseases', 'Antineoplastic Agents', 'trifluridine and tipiracil']",
"A Study to Assess the Safety, Tolerability, and Effect on Disease Progression of BIIB105 in Participants With Amyotrophic Lateral Sclerosis (ALS) and Participants With the ALS Ataxin-2 (ATXN2) Genetic Mutation",2023-10,ACTIVE_NOT_RECRUITING,2026-07-15,SPONSOR,,Biogen,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,99.0,ACTUAL,"[{'name': 'BIIB105', 'description': 'Administered as specified in the treatment arm.'}, {'name': 'Placebo', 'description': 'Administered as specified in the treatment arm.'}]",,
A Safety and Tolerability Study of ILB in Patients With Amyothrophic Lateral Sclerosis (ALS),2021-10,COMPLETED,2021-07-28,SPONSOR,,University of Birmingham,"['Amyotrophic Lateral Sclerosis', 'Motor Neuron Disease']",INTERVENTIONAL,11.0,ACTUAL,"[{'name': 'ILB', 'description': 'Administration will be weekly subcutaneous injections at a dose of 2mg/kg once per week for up to a maximum of 48 weeks'}]","['ILB', 'Amyotrophic Lateral Sclerosis', 'Motor Neuron Disease', 'ALS']",
"Efficacy, Safety and Tolerability of High Lipid and Calorie Supplementation in Amyotrophic Lateral Sclerosis",2019-02,COMPLETED,2018-09,PRINCIPAL_INVESTIGATOR,"Albert Christian Ludolph, Prof.",University of Ulm,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,207.0,ACTUAL,"[{'name': 'Calogen'}, {'name': 'Placebo'}]","['amyotrophic lateral sclerosis', 'survival time', 'ALS Functional Rating Scale', 'quality of life', 'survival']",
Localized Analysis of Normalized Distance From Scalp to Cortex and Personalized Evaluation (LANDSCAPE),2023-12,RECRUITING,2025-06-14,PRINCIPAL_INVESTIGATOR,LU Hanna,Chinese University of Hong Kong,"['Aging', 'Dementia Alzheimers', 'Parkinson Disease', 'Dementia Frontotemporal', 'Depression in Old Age']",OBSERVATIONAL,488.0,ESTIMATED,"[{'name': 'Transcranial Magnetic Stimulation', 'description': 'One time for each day, lasting for three weeks.'}]","['Aging', 'Scalp-to-cortex distance', 'Transcranial brain stimulation', 'Parkinson disease', 'Simulation', 'Predictor']",Healthy normal ageing adults and adults with neurocognitive disorders
Brown Adipose Tissue in ALS,2021-08,COMPLETED,2019-04-01,SPONSOR,,"Institut National de la Santé Et de la Recherche Médicale, France",['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,10.0,ACTUAL,"[{'name': 'Indirect Calorimetry.', 'description': 'REE measurement'}, {'name': '18-FDG-PET', 'description': '18-FDG-PET'}]",,
Safety/Efficacy of AVP-923 in the Treatment of Emotional Lability (Uncontrolled Crying & Laughing) in Patients With ALS,2016-07,COMPLETED,2002-04,,,Avanir Pharmaceuticals,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,100.0,,[{'name': 'AVP-923'}],"['AVP-923', 'Dextromethorphan', 'Quinidine', 'Pseudobulbar Affect']",
Inhibition of Rho Kinase (ROCK) With Fasudil as Disease-modifying Treatment for ALS,2023-11,COMPLETED,2023-11-01,PRINCIPAL_INVESTIGATOR,Paul Lingor,University Medical Center Goettingen,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,120.0,ACTUAL,"[{'name': 'Fasudil', 'description': 'Fasudil hydrochloride hydrate IV solution'}, {'name': 'Placebo', 'description': 'Placebo to Fasudil hydrochloride hydrate, NaCl 0,9%'}]","['Motor neuron disease', 'Neurodegenerative disease']",
Network Modulation in Alzheimer's Disease,2022-03,COMPLETED,2022-03-01,PRINCIPAL_INVESTIGATOR,"Mark Eldaief, MD",Brigham and Women's Hospital,"['Alzheimer Disease', 'Primary Progressive Aphasia', 'Mild Cognitive Impairment']",INTERVENTIONAL,11.0,ACTUAL,"[{'name': 'repetitive transcranial magnetic stimulation (rTMS)', 'description': 'rTMS is a method to focally and reversibly stimulate a pre-specified cortical target. rTMS works through the principle of electromagnetic induction.'}]",,
"Cognitive, Behavioral, and Functional Change in Behavioral Variant Frontotemporal Dementia (bvFTD)",2020-06,COMPLETED,2019-09-23,SPONSOR,,Biogen,"['Frontotemporal Dementia', 'Behavioral Variant Frontotemporal Dementia']",OBSERVATIONAL,47.0,ACTUAL,"[{'name': 'Assessments', 'description': 'Cognitive, Behavioral and Functional as described in the Outcome Measures'}]","['Longitudinal', 'Caregiver', 'Cognitive assessments', 'Behavioral assessments', 'Functional assessments']","Academic centers, Hospitals, Clinics"
Presepsin as a Predictor for Postoperative Complications Following Pancreatic Resection,2020-02,COMPLETED,2019-12-31,SPONSOR,,Medical University Innsbruck,['Postoperative Complications'],INTERVENTIONAL,86.0,ACTUAL,"[{'name': 'Blood draw', 'description': 'One additional blood sample for study purpose from the day before surgery, postoperative 1, 3 and 8.'}]","['Pancreatic resection', 'POPF', 'Inflammatory response']",
Study of Structural and Functional Brain Connectivity Changes in ALS (CoALS-II),2023-07,COMPLETED,2024-01-08,SPONSOR,,Dartmouth-Hitchcock Medical Center,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,31.0,ACTUAL,"[{'name': 'fMRI', 'description': 'fMRI scan for 1 hour'}]","['Amyotrophic Lateral Sclerosis', 'Functional Magnetic Resonance Imaging', 'Connectivity', 'Diffusion Tensor Imaging', 'Dynamometer']",
High Fat/High Calorie Trial in Amyotrophic Lateral Sclerosis,2015-02,COMPLETED,2013-05,PRINCIPAL_INVESTIGATOR,"Anne-Marie Alexandra Wills, MD",Massachusetts General Hospital,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,28.0,ACTUAL,"[{'name': 'Oxepa', 'description': 'Oxepa: Tube feed containing 1.5 calories/ml of which 55% calories are from fat, including eicosapentaenoic acid and gamma-linolenic acid. Subjects will receive 1.25 times their daily caloric requirements based on their measured resting energy expenditure. Subjects will receive 4 months of tube feeds and be followed for an additional 1 month to measure adverse events and tolerability.'}, {'name': 'Jevity 1.5', 'description': 'Jevity 1.5: Tube feed containing 1.5 calories/ml of which 29.4% are from fat. Subjects will receive 1.25 times their daily caloric requirements based on their measured resting energy expenditure. Subjects will receive 4 months of tube feeds and be followed for an additional 1 month to measure adverse events and tolerability.'}, {'name': 'Jevity 1.0', 'description': 'Jevity 1.0: Control tube feed. Subjects will receive 1.0 times their daily caloric requirements based on their measured resting energy expenditure. Subjects will receive 4 months of tube feeds and be followed for an additional 1 month to measure adverse events and tolerability.'}]","['Amyotrophic Lateral Sclerosis', 'ALS', 'Motor Neuron Disease', 'MND', 'Fat', 'Lipid', 'Cholesterol', 'Omega-3 fatty acid', 'Diet', 'Tube feed', 'Gastrostomy', 'PEG', 'Adults with Amyotrophic Lateral Sclerosis (ALS)']",
A Dose-escalation Safety Trial for Intrathecal Autologous Mesenchymal Stem Cell Therapy in Amyotrophic Lateral Sclerosis,2019-08,COMPLETED,2019-01-31,PRINCIPAL_INVESTIGATOR,Anthony J. Windebank,Mayo Clinic,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,27.0,ACTUAL,"[{'name': 'autologous mesenchymal stem cells', 'description': 'There will be five treatment groups of up to five patients each. Groups 1, 2 and 4 will receive a single dose of cells. Groups 3 and 5 will receive 2 doses of cells separated by one month. Intrathecal injections into new subjects will be timed so that there is a minimum of one week between subject injections. The cell dose per group is as follows:\n\n* Group 1: single intrathecal dose of 1 x 107 cells\n* Group 2: single intrathecal dose of 5 x 107 cells\n* Group 3: one intrathecal dose of 5 x 107 cells followed one month later by a second intrathecal dose of 5 x 107 cells\n* Group 4: single intrathecal dose of 1 x 108 cells\n* Group 5: one intrathecal dose of 1 x 108 cells followed one month later by a second intrathecal dose of 1 x 108 cells'}]",,
"Multifactorial Approach to Dementia, Multicentric Study",2023-07,RECRUITING,2024-09-20,SPONSOR_INVESTIGATOR,Daniel Serrani Azcurra,Daniel Serrani Azcurra,"['Dementia of Alzheimer Type', 'Dementia Frontotemporal', 'Narcissistic Personality Disorder', 'Depression', 'Personality Change']",OBSERVATIONAL,450.0,ESTIMATED,,,"individuals eligible to participate were diagnosed with dementia, or had inconclusive results living at the community or residential institutions invited to attend a follow-up, cognitively healthy or minimally impaired, or had mild cognitive impairment (MCI), or dementia"
HEALEY ALS Platform Trial - Master Protocol,2024-01,RECRUITING,2026-04,SPONSOR_INVESTIGATOR,"Merit E. Cudkowicz, MD","Merit E. Cudkowicz, MD",['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,1500.0,ESTIMATED,"[{'name': 'Zilucoplan', 'description': 'Drug: Zilucoplan\n\nAdministration: Subcutaneous injection\n\nDose: Minimum of .0.22 mg/kg daily to a maximum dose of 0.42 mg/kg daily, dependent on weight'}, {'name': 'Verdiperstat', 'description': 'Drug: Verdiperstat\n\nAdministration: Oral\n\nDose: 600mg twice daily'}, {'name': 'CNM-Au8', 'description': 'Drug: CNM-Au8\n\nAdministration: Oral\n\nDose: 30 mg or 60 mg daily'}, {'name': 'Pridopidine', 'description': 'Drug: Pridopidine\n\nAdministration: Oral\n\nDose: 45mg twice daily'}, {'name': 'SLS-005 Trehalose', 'description': 'Drug: SLS-005 Trehalose\n\nAdministration: Infusion\n\nDose: 0.75 g/kg weekly'}, {'name': 'ABBV-CLS-7262', 'description': 'Drug: ABBV-CLS-7162\n\nAdministration: Oral\n\nDose: Dose 1 or Dose 2'}, {'name': 'DNL343', 'description': 'Drug: DNL343\n\nAdministration: Oral\n\nDose: Once per day'}]","['ALS', 'Placebo-Controlled', 'Double-Blind', 'Master Protocol', ""Lou Gehrig's Disease""]",
Food Supplement for the Treatment of Patients With Amyotrophic Lateral Sclerosis,2022-08,WITHDRAWN,2022-05,SPONSOR,,Herb Spirit,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,0.0,ACTUAL,"[{'name': 'Spirit1', 'description': 'Spirit 1 is a combination of phospholipids and anti-oxidant medicinal plants'}]",,
Amyotrophic Lateral Sclerosis Non-invasive Ventilation Exchange,2023-04,RECRUITING,2025-05,SPONSOR,,"University Hospital, Montpellier",['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,58.0,ESTIMATED,"[{'name': 'Telerehabilitation solution (m-Rehab)', 'description': ""Patients in the experimental group will have access to a multimodal digital platform (m-Rehab®). The solution includes a website and an application available on smart phones for the patient and caregivers. Patients and caregivers will have access to educational content about the condition and its treatments, NIV compliance data, digital group educational workshops, secure messaging and video conferencing.\n\nAll the professionals forming the patient's circle of care will be able to have access to the solution, after the patient's authorization. The circle of care, in a non-exhaustive way, includes specialist doctors, the general practitioner, the staff of the reference center of the Montpellier University Hospital, the physiotherapist, the speech therapist, the dietician and the psychologist.""}, {'name': 'Usual management including NIV.', 'description': 'Usual management including NIV.'}]","['Amyotrophic lateral sclerosis (ALS)', 'Non invasive ventilation', 'Telemonitoring', 'Telemedicine', 'Multidisciplinary approach']",
Safety Extension Study of TRO19622 in ALS,2016-11,COMPLETED,2012-03,SPONSOR,,Hoffmann-La Roche,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,271.0,ACTUAL,"[{'name': 'TRO19622', 'description': '2 capsules of TRO19622 (330mg) once a day with the noon meal as add-on therapy to riluzol 50mg bid'}]","['Amyotrophoc Lateral Sclerosis', 'TRO19622', 'Olesoxime', 'Trophos']",
Safety Study of Intranasal Oxytocin in Frontotemporal Dementia,2013-11,COMPLETED,,PRINCIPAL_INVESTIGATOR,Elizabeth Finger,Lawson Health Research Institute,['Frontotemporal Dementia'],INTERVENTIONAL,23.0,ACTUAL,"[{'name': 'oxytocin', 'description': 'Patients will be randomized to receive intranasal oxytocin or placebo in a dose escalation paradigm with three dose cohorts: 24IU, 48IU and 72IU of intranasal oxytocin twice daily for 1 week'}, {'name': 'Saline Nasal Mist', 'description': 'Placebo arm wil receive saline nasal mist sprays matched in number to oxytocin dose cohorts'}]","['Frontotemporal Dementia', 'oxytocin', ""Pick's disease""]",
Effect of Electrical Stimulation (DC Polarization) to the Brain on Memory,2013-03,COMPLETED,2010-04,SPONSOR,,National Institute of Neurological Disorders and Stroke (NINDS),['Healthy'],INTERVENTIONAL,45.0,ACTUAL,"[{'name': 'DC brain polarization', 'description': '0.08 mA/cm2'}]","['Frontal Lobe', 'Language', 'Dementia', 'Healthy Volunteer', 'HV']",
In-Home Technology for Dementia Caregivers,2022-04,COMPLETED,2020-11-27,PRINCIPAL_INVESTIGATOR,Robert Levenson,"University of California, Berkeley","['Dementia', ""Alzheimer's Disease"", 'Frontotemporal Dementia']",INTERVENTIONAL,78.0,ACTUAL,"[{'name': 'In-home technology', 'description': 'Intelligent bots monitor the in-home sensors, learn typical patterns, and provide caregivers with text messages via cell phone and alerts via the tablet when worrisome behaviors occur. Social contact is encouraged using a trusted circle of friends and family who are encouraged to stay in contact and share photos and videos with the caregiver and person with dementia via the digital display.'}, {'name': 'Limited in-home technology', 'description': 'Intelligent bot monitors the in-home water leak sensor and provide caregivers with text messages via cell phone and alerts via the tablet when worrisome conditions occur.'}]","['Caregivers', 'Dementia', 'In-Home Assistive Technology']",
Enhancing Language Function in Aphasia,2023-09,RECRUITING,2028-12-15,SPONSOR,,University of Arizona,"['Aphasia, Acquired', 'Language Disorders', 'Primary Progressive Aphasia', 'Stroke, Cerebrovascular']",INTERVENTIONAL,30.0,ESTIMATED,"[{'name': 'individualized speech-language training', 'description': 'Language treatment might include lexical, semantic, and interactive treatment. During treatment, patients may be trained to name words by attempting to self-cue lexical retrieval. The therapy moves incrementally through semantic cuing. The semantic treatment will be implemented using the methods described in (Edmonds et al., 2009, 2014).'}, {'name': 'standard language intervention', 'description': 'Participants will undergo standard speech-language naming therapy'}]",,
Evaluation of a Mechanical Device During Acute Respiratory Failure in Patients With Neuromuscular Disorders,2015-05,TERMINATED,2011-12,SPONSOR,,Assistance Publique - Hôpitaux de Paris,"['Duchenne Muscular Dystrophy', 'Amyotrophic Lateral Sclerosis', 'Neuromuscular Diseases']",INTERVENTIONAL,14.0,ACTUAL,"[{'name': 'mechanical insufflation - exsufflation', 'description': 'Patients will receive MI-E treatment with the following settings: insufflation pressure of at least +30 cm H2O and an exsufflation pressure ≥ -30 cm H2O. There will be at least 6 hyperinflation/exsufflation sequences per session of chest physiotherapy. There will be at least two daily sessions done routinely by the respiratory therapist at 8 hour intervals.'}, {'name': 'Standard respiratory physiotherapy', 'description': 'Traditional chest physiotherapy without mechanical insufflation-exsufflation'}]","['Cough assisted device', 'Neuromuscular disease', 'Respiratory exacerbation', 'Invasive ventilation,', 'Chest physiotherapy', 'Congenital myopathies']",
"Imaging Characteristics of Florbetapir 18F in Patients With Frontotemporal Dementia, Alzheimer's Disease and Normal Controls.",2014-09,COMPLETED,2013-04,SPONSOR,,Avid Radiopharmaceuticals,"[""Alzheimer's Disease"", 'Frontotemporal Dementia']",INTERVENTIONAL,34.0,ACTUAL,"[{'name': 'florbetapir 18F', 'description': 'Subjects received a one-time intravenous (IV) bolus injection of 300 megabecquerels (MBq) florbetapir 18F.'}, {'name': '18F-FDG', 'description': 'FTD subjects received a one-time IV bolus injection of 185 MBq of 18F-FDG.'}]",,
Extension Study Evaluating The Safety And Tolerability of AMX0035,2024-01,ENROLLING_BY_INVITATION,2026-08,SPONSOR,,Amylyx Pharmaceuticals Inc.,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,600.0,ESTIMATED,"[{'name': 'AMX0035', 'description': 'Combination of 3 g phenylbutyrate and 1 g taurursodiol'}]",,
Online Self-Compassion Course for pALS (Compassion pALS),2022-06,COMPLETED,2022-06-01,SPONSOR,,Washington University School of Medicine,['Amyotrophic Lateral Sclerosis'],OBSERVATIONAL,5.0,ACTUAL,"[{'name': 'Observational for ALS patients', 'description': 'Open to ALS patients interested in mindfulness training.'}]",,ALS participants will be recruited from a Neuromuscular clinic.
Safety and Efficacy of AVP-923 in PBA Patients With ALS or MS,2017-03,COMPLETED,2009-09,SPONSOR,,Avanir Pharmaceuticals,['Pseudobulbar Affect (PBA)'],INTERVENTIONAL,326.0,ACTUAL,"[{'name': 'dextromethorphan hydrobromide 20 mg and quinidine sulfate 10 mg', 'description': 'Dextromethorphan hydrobromide (DM) and quinidine sulfate (Q) capsules (AVP-923 capsules), containing DM 20 mg/ Q 10 mg, taken once daily for 1 week and then twice daily for 11 consecutive weeks to complete a 12-week period'}, {'name': 'dextromethorphan hydrobromide 30 mg and quinidine sulfate 10 mg', 'description': 'Dextromethorphan hydrobromide (DM) and quinidine sulfate (Q) capsules (AVP-923 capsules), containing DM 30 mg/ Q 10 mg taken once daily for 1 week and then twice daily for 11 consecutive weeks to complete a 12-week period'}, {'name': 'Placebo', 'description': 'Placebo capsules (identical in appearance to AVP-923 capsules being studied in this trial), taken once daily for 1 week and then twice daily for 11 consecutive weeks to complete a 12-week period'}]","[""Amyotrophic Lateral Sclerosis (Lou Gehrig's disease, ALS)"", 'Multiple Sclerosis (MS)']",
Oxidative Stress and Apoptosis of Energy Metabolism by Deferiprone From the Circulating Lymphocytes,2020-03,COMPLETED,2020-03,SPONSOR,,"University Hospital, Lille","[""Parkinson's Disease"", 'Amyotrophic Lateral Sclerosis', 'Oxidative Stress', 'Iron Overload']",INTERVENTIONAL,90.0,ACTUAL,"[{'name': 'deferiprone', 'description': 'to test the action of deferiprone on lymphocytes from patients and controls ex vivo'}, {'name': 'placebo', 'description': 'to control the action of placebo on lymphocytes from patients and controls ex vivo'}]","[""Parkinson's disease"", 'Amyotrophic lateral sclerosis', 'Peripheral blood mononuclear cells', 'ex vivo model for oxidative stress', 'iron metabolism and chelation']",
"Levetiracetam for Cramps, Spasticity and Neuroprotection in Motor Neuron Disease",2009-01,COMPLETED,2008-06,SPONSOR,,Duke University,"['Motor Neuron Disease', 'Amyotrophic Lateral Sclerosis', 'Primary Lateral Sclerosis', 'Progressive Muscular Atrophy']",INTERVENTIONAL,20.0,ACTUAL,"[{'name': 'Levetiracetam', 'description': 'Levetiracetam 1500 mg BID'}]","['motor neuron disease', 'amyotrophic lateral sclerosis primary lateral', 'sclerosis; progressive muscular atrophy', 'cramps', 'spasticity']",
